recordID,hu12_zoneid,lagoslakeid,mean_secchi,median_secchi,sd_secchi,covar_secchi,nobs_secchi,nhdid,nhd_lat,nhd_long,lake_area_ha,lake_perim_meters,lagosname1,meandepth,maxdepth,in_nwi,iws_zone_id,hu4_zoneid,hu8_zoneid,edu_zoneid,state_name,iws_area_ha,lakeconnectivity,glacial,pcturbancombined_hu12,pctagcombined_hu12,pctpasturehay_hu12,pctrowcrop_hu12
1,HU12_10001,1104,62.125,0.61,108.962.914,175.393.021,4,120018426,43.903.086,-94.660.011,1.056.018.556,7.121.624.418,LONG,2.47,4,yes,IWS_25352,HU4_53,HU8_365,EDU_41,Minnesota,4.914.912.251,DR_Stream,Glaciated,7.0882,849.299,0,849.299
2,HU12_10010,3149,666,0.53,344.131.758,516.714.351,10,120018420,44.138.477,-94.615.472,7.175.833.855,3.421.763.921,HANSKA,NA,1.7,yes,IWS_25087,HU4_53,HU8_365,EDU_41,Minnesota,9.150.777.551,DR_Stream,Glaciated,4.7912,831.846,1.789,830.057
3,HU12_10016,3163,1.237.142.857,1.2,299.205.297,241.851.856,7,32672122,43.902.899,-93.416.973,3.603.661.813,2.480.964.684,ST. OLAF,NA,9.1,yes,IWS_26100,HU4_53,HU8_366,EDU_41,Minnesota,1.273.795.084,DR_LakeStream,Glaciated,5.7081,86.324,1.1709,851.531
4,HU12_10054,39040,0.2,0.2,NA,NA,1,159101704,43.662.307,-93.412.895,8.717.140.447,4.750.633.685,WHITE (CHAPEAU),NA,NA,yes,IWS_31873,HU4_57,HU8_353,EDU_23,Minnesota,4.555.829.476,DR_Stream,Glaciated,189.984,457.142,2.469,432.452
5,HU12_10056,3523,0.9,0.9,141.421.356,15.713.484,2,adfdf197-9f62-4650-8866-676709b89aee,44.495.383,-92.286.713,1.031.653.662,1.321.364.799,PEPIN,NA,17.1,yes,IWS_29046,HU4_55,HU8_330,EDU_13,Wisconsin,3.144.160.088,DR_LakeStream,Not_Glaciated,5.7959,308.657,4.9429,259.228
6,HU12_10058,2256,135.636,9.906,982.123.115,724.087.348,3,42798634,44.262.702,-91.865.688,2.161.956.605,281.592.564,LIZZIE PAULS POND,NA,1.2192,yes,IWS_28733,HU4_55,HU8_375,EDU_13,Wisconsin,4.465.402.171,DR_Stream,Not_Glaciated,5.458,164.764,5.4486,11.0278
7,HU12_10062,4728,54.864,54.864,NA,NA,1,120018194,43.917.547,-91.321.557,4.257.477.964,3.556.202.767,LAKE ONALASKA,1.8288,12.192,Partial,IWS_28957,HU4_55,HU8_376,EDU_13,Wisconsin,1.755.520.167,DR_LakeStream,Not_Glaciated,178.922,130.934,5.3389,7.7545
8,HU12_10063,294,42.672,42.672,NA,NA,1,41240771,43.851.611,-91.254.795,5.825.917.219,1.024.788.431,RICHMOND BAY,NA,NA,no,IWS_28616,HU4_55,HU8_376,EDU_13,Wisconsin,8.464.890.739,Isolated,Not_Glaciated,352.209,3.1559,8.867,2.2692
9,HU12_10068,363,386.666.667,0.38,235.428.687,608.867.294,6,130642900,43.545.769,-93.501.104,608.689.635,1.117.733.767,BEAR,NA,NA,yes,IWS_31950,HU4_57,HU8_356,EDU_23,Minnesota,9.623.158.804,DR_Stream,Glaciated,5.7167,830.741,2.7633,803.108
10,HU12_10070,766,2.29,2.29,NA,NA,1,37649149,44.666.613,-93.284.628,2.090.701.834,1.652.768.171,MARION (EAST BAY),NA,5.2,yes,IWS_28939,HU4_55,HU8_330,EDU_13,Minnesota,1.824.200.219,DR_Stream,Glaciated,37.416,425.859,158.369,26.749
